,Date,Play,SecLeft,Shooter,ShotOutcome,ShotType
1137822,2016-10-27,D. Lillard makes 2-pt layup from 2 ft,36,D. Lillard - lillada01,make,2-pt layup
1137826,2016-10-27,D. Lillard makes 2-pt layup from 2 ft,22,D. Lillard - lillada01,make,2-pt layup
1145802,2016-10-29,D. Lillard misses 2-pt layup from 1 ft,117,D. Lillard - lillada01,miss,2-pt layup
1145816,2016-10-29,D. Lillard makes 3-pt jump shot from 28 ft (assist by A. Crabbe),47,D. Lillard - lillada01,make,3-pt jump shot
1145845,2016-10-29,D. Lillard makes 2-pt layup from 2 ft (assist by M. Plumlee),2,D. Lillard - lillada01,make,2-pt layup
1159783,2016-11-02,D. Lillard makes 2-pt layup from 2 ft,120,D. Lillard - lillada01,make,2-pt layup
1159787,2016-11-02,D. Lillard makes 2-pt jump shot from 14 ft,101,D. Lillard - lillada01,make,2-pt jump shot
1159790,2016-11-02,D. Lillard misses 3-pt jump shot from 26 ft,70,D. Lillard - lillada01,miss,3-pt jump shot
1159802,2016-11-02,D. Lillard misses 2-pt jump shot from 9 ft,22,D. Lillard - lillada01,miss,2-pt jump shot
1166046,2016-11-04,D. Lillard misses 3-pt jump shot from 28 ft,47,D. Lillard - lillada01,miss,3-pt jump shot
1178329,2016-11-08,D. Lillard misses 3-pt jump shot from 28 ft,69,D. Lillard - lillada01,miss,3-pt jump shot
1178337,2016-11-08,D. Lillard makes 2-pt layup from 1 ft,42,D. Lillard - lillada01,make,2-pt layup
1178341,2016-11-08,D. Lillard misses 3-pt jump shot from 27 ft (block by D. Bender),16,D. Lillard - lillada01,miss,3-pt jump shot
1189836,2016-11-11,D. Lillard misses 2-pt layup from 1 ft,38,D. Lillard - lillada01,miss,2-pt layup
1189846,2016-11-11,D. Lillard misses 3-pt jump shot from 27 ft,0,D. Lillard - lillada01,miss,3-pt jump shot
1197217,2016-11-13,D. Lillard misses 2-pt jump shot from 15 ft,101,D. Lillard - lillada01,miss,2-pt jump shot
1227057,2016-11-22,D. Lillard misses 2-pt layup from 2 ft,104,D. Lillard - lillada01,miss,2-pt layup
1227061,2016-11-22,D. Lillard misses 2-pt layup from 1 ft,89,D. Lillard - lillada01,miss,2-pt layup
1239836,2016-11-25,D. Lillard makes 2-pt jump shot from 4 ft,95,D. Lillard - lillada01,make,2-pt jump shot
1246113,2016-11-27,D. Lillard misses 2-pt layup from 2 ft,112,D. Lillard - lillada01,miss,2-pt layup
1246130,2016-11-27,D. Lillard misses 3-pt jump shot from 26 ft,43,D. Lillard - lillada01,miss,3-pt jump shot
1272052,2016-12-05,D. Lillard misses 2-pt layup from 3 ft (block by D. Wade),97,D. Lillard - lillada01,miss,2-pt layup
1272063,2016-12-05,D. Lillard misses 3-pt jump shot from 26 ft,27,D. Lillard - lillada01,miss,3-pt jump shot
1280469,2016-12-07,D. Lillard misses 3-pt jump shot from 23 ft,29,D. Lillard - lillada01,miss,3-pt jump shot
1283723,2016-12-08,D. Lillard misses 2-pt jump shot from 21 ft,112,D. Lillard - lillada01,miss,2-pt jump shot
1283734,2016-12-08,D. Lillard misses 3-pt jump shot from 25 ft,51,D. Lillard - lillada01,miss,3-pt jump shot
1289617,2016-12-10,D. Lillard makes 2-pt layup from 4 ft,112,D. Lillard - lillada01,make,2-pt layup
1289622,2016-12-10,D. Lillard misses 3-pt jump shot from 26 ft,53,D. Lillard - lillada01,miss,3-pt jump shot
1289640,2016-12-10,D. Lillard misses 3-pt jump shot from 25 ft,20,D. Lillard - lillada01,miss,3-pt jump shot
1289645,2016-12-10,D. Lillard makes 2-pt layup from 2 ft,11,D. Lillard - lillada01,make,2-pt layup
1298587,2016-12-12,D. Lillard makes 2-pt layup from 3 ft,50,D. Lillard - lillada01,make,2-pt layup
1298590,2016-12-12,D. Lillard misses 2-pt jump shot from 3 ft,18,D. Lillard - lillada01,miss,2-pt jump shot
1298634,2016-12-12,D. Lillard makes 3-pt jump shot from 24 ft,2,D. Lillard - lillada01,make,3-pt jump shot
1327012,2016-12-20,D. Lillard misses 2-pt jump shot from 21 ft,98,D. Lillard - lillada01,miss,2-pt jump shot
1327028,2016-12-20,D. Lillard misses 2-pt layup from 4 ft (block by D. Cousins),30,D. Lillard - lillada01,miss,2-pt layup
1327030,2016-12-20,D. Lillard misses 3-pt jump shot from 26 ft,21,D. Lillard - lillada01,miss,3-pt jump shot
1327036,2016-12-20,D. Lillard misses 3-pt jump shot from 25 ft,9,D. Lillard - lillada01,miss,3-pt jump shot
1330539,2016-12-21,D. Lillard makes 2-pt layup at rim,44,D. Lillard - lillada01,make,2-pt layup
1330552,2016-12-21,D. Lillard misses 3-pt jump shot from 29 ft,0,D. Lillard - lillada01,miss,3-pt jump shot
1388762,2017-01-08,D. Lillard misses 3-pt jump shot from 27 ft,76,D. Lillard - lillada01,miss,3-pt jump shot
